Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
eIDAS-Node,Open Source Project,,"The CEF eID team is pleased to announce the release of the version 1.1 of the sample implementation. In this new version, performance under stress conditions has been increased, by notably focusing on eIDAS compliance and removing remaining legacy features that are outside the scope of eIDAS conditions. This thereby simplifies the abstraction layer required for the Member States specific implementation, and improves configuration management.

Member States may implement this version directly, or use it as a sample when testing other implementations of the technical specifications. Release 1.1 of the eIDAS sample implementation for Member States is an all-in-one package for the Java platform including binary distributions for Glassfish, JBoss, Tomcat, WebLogic, WebSphere and the source code (Maven project).

With each re-release, the CEF eID Team is striving to improve users' CEF eID experience. The next version of the specifications will thus be further improved based on the feedback received on this current version.",,,,,,https://ec.europa.eu/cefdigital/wiki/display/CEFDIGITAL/eIDAS-Node+v1.1,
OpenNPC,Open Source Project,,"The OpenNCP project shifts under the direct responsibility of the European Commission, Directorate General for Health and Food Safety, DG SANTE. The goal is to move  the epSOS e-health pilot OpenNCP into the global European ""Connecting Europe Facility"" (CEF) framework project under the umbrella of the ""eHealth Digital Service Infrastructure""(eHealth DSI).
The project is dedicated to remain open-source and the governance is designated to be driven or influenced by the OpenNCP community and health care professionals, in cooperation with the European Commission.",,,,,,,
Connecting Europe Facility,Part of Supra-National Government,,"The digital economy can expand markets and foster more and better services, offer more choice and create new employment. Bringing down the barriers that are holding the EU digital single market back could contribute an additional EUR 415 billion to EU GDP.

The Connecting Europe Facility (CEF) supports trans- European networks and infrastructures in the sectors of transport, telecommunications and energy. In this context the European Commission has proposed for the first time a series of guidelines covering the objectives and priorities for broadband networks and digital service infrastructures in the field of telecommunications.",,,,,,https://ec.europa.eu/digital-single-market/en/connecting-europe-facility,
International Federation for Information Processing,Organization / Trade Association,,,,,,,,,
IEEE SecDev 2016,Event,,"In this first year, IEEE Cybersecurity Development (SecDev) 2016 is soliciting short papers that present innovations, experience-based insights, or a vision. The goal is to share useful and thought provoking ideas, to push forward the art and science of secure development. In future years, the academic portion of SecDev will expand to include more complete articles.

SecDev is a new venue for presenting ideas, research, and experience about how to develop secure systems.

SecDev is distinguished by its focus on how to “build security in” (and not simply discover the absence of security). Its goal is to encourage and disseminate ideas for secure system development among both academia and industry. Developers have valuable experiences and ideas that can inform academic research, and researchers have concepts, studies, and even code and tools that could benefit developers. We anticipate that attendees from academic conferences like IEEE S&P, USENIX Security, PLDI, FSE, ISSTA, SOUPS, and many others could contribute ideas to SecDev, as could attendees of industrial conferences like AppSec, RSA, Black Hat, and Shmoocon.

Papers have the option of appearing in the conference’s formal proceedings, or not. SecDev is also interested in tutorials on processes, frameworks, languages, and tools. The goal is to propose useful and thought provoking ideas, and to share knowledge on the art and science of secure system development.

Areas of interest include (but are not limited to):
* Security engineering processes, from requirements to maintenance
* Dynamic/static analysis and runtime approaches towards application security
* Programming languages and frameworks supporting security
* Testing strategies to ensure security
* Explorations of formal verification and other high-assurance methods for security
* Code reviews, red teams, and other human-centered assurance
* Security-focused system (HW/SW/architecture) designs
* Human-centered design for systems security
* Distributed systems design and implementation for security

What makes SecDev different than other conferences?
SecDev is interested in work that has a demonstrated connection to building systems that are more secure. It is not enough to show that an existing system, however prominent, is insecure. Nor is it enough to propose a new cryptosystem or formal security model with nice mathematical properties but no concrete exploration of how it would be used to build systems more securely. Instead, papers should be about (as a few examples) how a development library, tool, or process can produce systems resilient against certain attacks; how a formal foundation could underpin a language, tool, or testing strategy that can help produce stronger systems; and experience, designs, or applications showing how cryptography can be used effectively to secure systems.

A good SecDev paper may resemble an elaborated vision statement, a grant proposal, or a mini-keynote summarizing prior work and directions. We are not interested in complete works that manage to fit in a few pages; rather we want bigger ideas (previously published or not) that will lead to a stimulating, thoughtful, and perhaps (gently) provocative discussion. A good SecDev tutorial will introduce interested practitioners and researchers to technologies (e.g., languages, tools, frameworks) that show promise in aiding the development of secure systems.",,,,,,http://secdev.ieee.org,
EU Trusted List Scheme Operators,Service,,"The Trusted List Scheme Operator (TLSO) of an EU MS is the body responsible for the operation and/or management of the assessment scheme of that Member State.
Following the operation/management of that scheme, the Scheme Operator maintains and publishes the corresponding Member State Trusted List (CD 2009/767/EC and amendments, part of the legal framework).",,,,,,https://ec.europa.eu/cefdigital/wiki/display/CEFDIGITAL/EU+Trusted+List+Scheme+Operators,
The Institute for Law and the Web at the University of Southampton (ILAWS),Part of University,,"The Institute for Law and the Web at the University of Southampton (ILAWS) was established to work on the legal issues, problems and opportunities associated with the Internet, the Web and digital technology. It is a unique interdisciplinary research centre that combines legal expertise in key domains such as information technology law, ecommerce, Information Technology (IT) law and public policy, and intellectual property (IP) law. The Institute combines a brief to look at the crucial current issues for commerce and government, alongside cutting-edge ‘futuregazing’ to discover what the legal issues of the future will be. ILAWS members work closely with colleagues in the University of Southampton and beyond in disciplines such as cyber security, psychology, web science etc. It now has six full time members of staff, four visiting research fellows and a dozen PhD students. ILAWS is a partner in a high profile University of Southampton research centre: the Southampton Cyber Security centre of excellence.",,,,,,http://www.southampton.ac.uk/ilaws/index.page,
Latin America and Caribbean Network Information Centre,Organization / Trade Association,,"The Latin America and Caribbean Network Information Centre[1] (LACNIC, Spanish: Registro de Direcciones de Internet para América Latina y Caribe, Portuguese: Registro de Endereçamento da Internet para América Latina e Caribe) is the Regional Internet Registry for the Latin American and Caribbean regions.

LACNIC[2] provides number resource allocation and registration services that support the global operation of the Internet. It is a not-for-profit, membership-based organisation whose members include Internet Service Providers, and similar organisations.",,,,,2016-09-13,http://www.lacnic.net/en/,https://en.wikipedia.org/wiki/Latin_America_and_Caribbean_Network_Information_Centre
MODRNA Discovery,Specification,,"OpenID Connect Discovery 1.0 [OpenID.Discovery] section 2.1 specifies a way to normalize a user identifier to derive a resource and especially a host for OpenID Provider Issuer Discovery. While this works well for identifiers as email addresses and urls, it does not work for typical identifiers from the mobile network space. In a mobile environment, MSISDN's or ip-addresses are typical resources identifying a user or the respective mobile network operator (MNO). The structure of those identifiers does not allow for an algorithmic normalization. Thus it will be necessary to have a specific service to perform the normalization.

The OpenID Connect Mobile Discovery Profile specifies the interface of this service. Part of the interface specification will be the identification of possible user input identifier types relevant in the Mobile Connect scenario. Remark: Some of those user input identifier types may not identify a single user/device but may be sufficient to identify the right mobile operator. An example for this is the MNC/MCC tuple (mobile network code/ mobile contry code) or the IP address range.

This profile also specifies how a client registers with the MNO discovery service and how Account Chooser service [Account.Chooser] can be used to further improve user experience in the overall Mobile Connect flow.",,,,,,http://openid.net/wordpress-content/uploads/2014/04/draft-mobile-discovery-01.html,
Illumila,Company,,,,,,,,,
"International Working Group on Data Protection in Telecommunications (IWGDPT) ""The Berlin Group""",Working Group,,"The International Working Group on Data Protection in Telecommunications (IWGDPT, a.k.a. “Berlin Group”) includes representatives from Data Protection Authorities and international organisations dealing with privacy matters from all over the world. It was founded in 1983 in the framework of the International Conference of Data Protection and Privacy Commissioners at the initiative of the Berlin Commissioner for Data Protection, who has since then been chairing the Group. The Group has since 1983 adopted numerous recommendations (“Common Positions” and “Working Papers”) aimed at improving the protection of privacy in telecommunications. Since the beginning of the 90s the Group has in particular focused on the protection of privacy on the Internet. More information about the Work of the Group and the documents adopted by the Group are available for download on the website of the Group at http://www.berlin-privacy-group.org",,,,,,https://datenschutz-berlin.de/content/europa-international/international-working-group-on-data-protection-in-telecommunications-iwgdpt/working-papers-and-common-positions-adopted-by-the-working-group,
IDnext,Organization / Trade Association,Europe,"IDentity.Next Assocation

The main mission of the IDnext association is to create an open and independent platform to support and facilitate innovative approaches in the world of Digital identity, create awareness about Digital Identity, provide a knowledge and networking platform for experts in IT, Business and Marketeers as a European centre of expertise, and to ensure that everyone connected with the association stays at the forefront of technology, services and business by supporting innovation and by stimulating and supporting knowledge exchange and collaboration.

The IDnext association provides a single point of entry for (leading) IT and Business professionals throughout Europe.The IDnext association can be your starting point to connect, collaborate and find specific information related to Digital Identity and acts a community.

IDnext association aims to disseminate knowledge and experience by organizing events and workshops etc. on a variety of themes, using expertise within the world of IT and Business. Furthermore, it is an independent not-for-profit network organisation uniting a variety of experts in the world of the Digital Identity; e.g software vendors, system integrators, service and knowledge providers, advisers, governmental organisations, research and knowledge institutions.


Membership
IDnext association is a membership organization. Although you can participate without a paid membership, joining helps us to engage in (innovative) project-programmes, business development and also organize events and workshops to strengthen our mission in the world of Digital Identity.",,,,,,,
web paymentsReport and Guidance on Road Pricing - ”Sofia Memorandum”,Publication,,"The Working Group recommends that the designers of large scale road pricing systems which process personal data should comply with the following recommendations designed to protect the privacy of drivers and owners of vehicles:
• The anonymity of the driver can and should be preserved by using the so-called smart client or anonymous proxy approaches that keep personal data of the drivers under their sole control and do not require off-board location record-keeping.
• Road pricing systems can and should be designed so that the detailed trip data are fully and permanently deleted from the system after the charges have been settled in order to prevent the creation of movement profiles or the potential for function-creep.
• Processing of personal data for other purposes (e.g. pay-as you drive insurance or be- havioural-based marketing), should only be possible with clear and unambiguous con- sent from the individual.
• In terms of enforcement, the system should not ascertain the identity of the driver or owner of a vehicle unless there is evidence that the driver has committed something which is defined as a violation of the road pricing system.",,,,,,https://datenschutz-berlin.de/attachments/661/society_services.pdf?1278642489,
Web Payments Interest Group,Discussion Group,,"The mission of the Web Payments Interest Group, part of the Web Payments Activity, is to provide a forum for Web Payments technical discussions to identify use cases and requirements for existing and/or new specifications to ease payments on the Web for users (payers) and merchants (payees), and to establish a common ground for payment service providers on the Web Platform. The overall objective of this group is to identify and leverage the conditions for greater uptake and wider use of Web Payments through the identification of standardization needs to increase interoperability between the different stakeholders and the different payment methods.


The Web Payments Interest Group's scope covers payment transactions using Web technologies on all computer devices (desktop, laptop, mobile, tablet, etc.) running a Web user-agent (a Web browser, a hybrid app, or an installed Web application) and using all possible legal payments methods. For instance, this includes:

* Traditional payment methods: e.g.credit and debit cards, credit transfer, direct debit, ACH, e-check, prepaid cards, etc.
* Non-traditional currencies (this term covers multiple cases such as the commonly called cryptocurrencies, digital currencies, or virtual currencies. This category is sometimes designated as ""non-governmental units-of-account"" by some International organizations )
* Newer front-end payment initiating systems (e.g. various flavors of online digital wallets, contactless payments based on various technologies such as NFC or BTLE)
* Other value transfer methods such as loyalty points, coupons, etc.
* New person-to-person payment systems such as Mobile Money in the developing world.

The Web Payments IG will cover a variety of scenarios including Web-mediated Business-to-Consumer (B2C), Business-to-Business (B2B), Business-to-Business to Consumer (B2B2C), and Person-to-Person (P2P) transactions in the case of physical (payment at physical shops) and online payments for physical or digital goods, including in-app payments. It will also cover one-time payments as well as e.g. recurring bill payments. Finally it will also cover micro-payments (low value payments) in different cases (P2P in international remittances or B2C/B2B for very small value goods such as press articles).

The tasks that the Interest Group will undertake include:
* Identification of problems, barriers and challenges that currently exists or may appear in the domain of Web Payments. This includes technology aspects as well as business aspects (incentives, etc.) and covers the different stakeholders, in particular customers (more generally payers), merchants (more generally payees), web application developers, and payment system providers. It also includes legal aspects and the IG will have to ensure that the proposed architecture is flexible enough to cope with varieties of regulations that exist across the globe.
* Identification of use-cases and scenarios of payment transactions using Web technologies that need to be addressed. This will cover both online payments, off-line payments and payments at physical shops or face-to-face. Issues such as ""floor-limits"" and ""stand-in"" for specific transaction scenarios should be considered. Different categories of use-cases should be identified to highlight different dimensions such as the role of regulations on technologies, the case of international low-value remittances, general retail payments, bill payments, utility payments etc.
* Identifying ways to improve the usability, security, uptake, and trust of Web payments
* Identification of requirements for more secure and interoperable management of payment transactions on the Web. This includes the identification of areas and places where standards are needed to ensure interoperable interfaces between Web applications and payment systems.
* Identification of the issues related to user privacy protection, user data protection, as well as provision of user data required for regulation or for anti-fraud detection process. This covers also rules, regulations and APIs related to access to accounts.
* Identification of gaps in Web Technologies that do not allow the identified requirements to be met.
* Identification of the role and place of regulations in the overall payment process, and the requirements that regulations impose on technologies to ensure that they are usable all over the world under different regulatory regimes. Different use-cases from different regions of the World should highlight the implication of the different regulations, and the best way to ensure that technologies can be flexible enough to cope with these regulations. Different use-cases and dimensions will be investigated including terms of the payment service between payers, payees and intermediaries, or cross-border payments.
* Priorization of the work items to resolve the identified gaps.
* Review of deliverables under development by other W3C groups that are relevant to the IG scope and report bugs as appropriate.
* Liaison with other organizations in the payment industry that are using Web Technologies for their technical specifications and/or their services to foster alignment and interoperability on a global scale.

Note:
* Development of technical standards is not in scope for the Interest Group. However, this group will encourage the development or adaption of technical standards to bridge the gaps that are identified. This includes the provisions of requirements and liaisons with relevant W3C and external groups and organizations. See the Dependencies and Liaison section.
* The Group will consider the security, privacy and accessibility implications of its use cases and requirements, and seek appropriate review.",,,,,,http://www.w3.org/Payments/IG/,
The Scientific & Technological Research Council of Turkey (TUBITAK),Part of a Government,,"The Scientific & Technological Research Council of Turkey (TUBITAK) – Center of Research for Informatics and Information Security, Advanced Technologies (BILGEM) is the leading research institute fulfilling the demands of Turkey in the field of Information Security Technology and Electronics. BILGEM performs security and conformity tests of various communication systems and equipment to define new national standards and to improve the quality and the security of communication. Having various departments concentrating on different application areas including security, electronics, optics, signal processing, radar systems, semiconductor technologies, acoustics, language processing, speech processing and e-Technologies, BILGEM serves both private and government sectors as the main provider of not only security solutions but also signal processing applications in Turkey and EU and acts as an advisory authority on several national and international boards.

R&D Experience and Capability
The employees of BILGEM, 76% of which consists of researchers, have all adopted the common ideal of becoming an international technology and production center that pioneers the development of new technologies in communications and advanced electronics areas. BILGEM contributes to universal science by incorporating the universities into the ongoing projects and encouraging its researchers for academic career development opportunities. BILGEM has the richest library in the areas of cryptology and information security in the country as well. The researchers and the management both believe in modern management systems. As a results of this, the institute has been awarded the ISO 9001-2000, AQAP-2110, AQAP-2130, AQAP-160, and its EMI/EMC and the Common Criteria Test Centers and the Public Certification Authority have been accredited by the Turkish Accreditation Agency with BS 7799/2002, TS/EN Associated with document Ref. Ares(2016)1565186 - 01/04/2016 H2020: Innovation Actions (IA) SEP-210295682 FutureTrust DIGITAL SECURITY: CYBERSECURITY, PRIVACY AND TRUST (Trust eServices) [700542] [FutureTrust] – ISO/IEC 17025:2000 and ISO/IEC 27001:2005 certifications respectively. TUBITAK leads Turkish e-ID project and it is the national government certification authority in Turkey.

Government services are becoming much easier to obtain at your home or office with just a tiny little token that is made by The Government Certification Authority. Owing to the perfection of BILGEM on data security and the technology of electronic signature, the Government Certification Authority known as “KAMU SM” which is the unique government CA, serves accordingly The Electronic Signature Law No.5070 within B?LGEM. KAMU SM was established in 2005 and now performs operations like electronic signature services that make authentication of the person electronically, PKI works and applications of e-signature where crucial security requirements are satisfied professionally.
In accordance with the relevant law, KAMU SM produces professional electronic signature with the tools, which help with the signing, and importing of all the staff into the safe electronic signature tokens and then consigns them to the users. Besides, KAMU SM uses secure systems and takes all necessary precautions during the gathering of users confidential information, issuing and consigning certificate processes to avoid certificate counterfeiting and falsification.",,,,,,http://www.tubitak.gov.tr/en,
Financial Transaction Cards WG7,Working Group,,"To maintain and revise where necessary, ISO/IEC 4909 and ISO/IEC 7813.",,,,,,,
SSEDIC.2020 - Scoping the Single European Digital Identity Community for the next decade,Research Project,Europe,"The objective of SSEDIC.2020 is to provide a platform for all the stakeholders of eID (electronic identity) to work together and collaborate. SSEDIC.2020 builds on the success of SSEDIC . 

SSEDIC.2020 will expand on existing SSEDIC themes, support the implementation of the SSEDIC recommendations, provide advisory and project validation services and promote international liaison and knowledge sharing.

As a first step SSEDIC.2020 will focus on mobile identity. Via its Global Partner Initiative, SSEDIC.2020 will foster cooperation between an increasing number of stakeholders to:
* Develop a truly global vision for mobile identity
* Encourage global information and best practice sharing
* Promote global standardization and interoperability for mobile identity

SSEDIC.2020 will develop strategic actions plans responding to eIDAS and the SSEDIC recommendations for

* government and EC encouragement
* private sector adoption
* harmonizing mobile authentication mechanisms suitable for eID use
* coordinated approach to education in the mobile identity domains",,,,,,http://www.ssedic2020.eu,
Cryptography and Security Mechanisms WG2,Working Group,,"WG 2 provides a center of expertise for the standardization of IT Security techniques and mechanisms within JTC 1.
Terms of Reference:
* identify the need and requirements for these techniques and mechanisms in IT systems and applications;
* develop terminology, general models and standards for these techniques and mechanisms for use in security services.

The scope covers both cryptographic and non-cryptographic techniques and mechanisms including:
* confidentiality;
* entity authentication;
* non-repudation;
* key management;
* data integrity such as message authentication;
** hash-functions;
** digital signatures.
The mechanisms in general include several options with respect to the techniques used including symmetric cryptographic, asymmetric cryptographic and non-cryptographic.",,,,,,,
Austrian Federal Ministry of Finance,Part of a Government,,,,,,,,,
PayPal,Company,,,,,,,,,
Blockchain and Smart Contracts Discussion Group,Discussion Group,,"This Kantara DG launched on July 5, 2016 and intends to meet for six months. It plans to deliver a report at the end of that time that offers recommendations and observations to Kantara regarding solving use cases for empowering traditionally disempowered parties (such as individuals) to ""contract and transact"" e.g. with parties that traditionally hold greater power (such as companies and large countries), given the new landscape of decentralization and distributed technologies and techniques and their mixture with identity.",,,,,,https://kantarainitiative.org/confluence/display/BSC/Home,
Digital Signature Services (DSS) TC,Working Group,,"SS v1.0 has been now been fully ratified as OASIS Specifications.

The DSS OASIS Specifications are available below. This consists:
Digital Signature Service Core Protocols, Elements, and Bindings
and the following profiles of the OASIS Digital Signature Services:

XML Timestamping Profile
Signature Gateway Profile
German Signature Law Profile
Entity Seal Profile
Electronic PostMark (EPM) Profile
Abstract Code-Signing Profile
J2ME Code-Signing Profile
Asynchronous Processing Abstract Profile
Advanced Electronic Signature Profiles


The OASIS Digital Signature Services (DSS) TC will develop techniques to support the processing of digital signatures. This includes defining an interface for requesting that a web service produce and/or verify a digital signature on a given piece of data and techniques for proving that a signature was created within its key validity period.",,,,,,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=dss,
Netnod,Organization / Trade Association,,"Netnod is a non-profit Internet infrastructure organisation. Netnod manages Internet exchange points (IXPs) in five cities in Sweden and one in Denmark. Netnod offers DNS anycast services worldwide, and is the proud operator of i.root-servers.net, one of 13 logical DNS root name servers in the world.",,,,,,http://www.netnod.se,https://en.wikipedia.org/wiki/Netnod
Records and Information from DMVs for E-Verify (RIDE),Service,,,,,,,,http://www.aamva.org/RIDE/,
Synergetics,Company,,,,,,1,,,
Georgian Government,Government,,,,,,,,,
Modentity,Project Pilot/Proof of Concept,,,,,,,,http://www.kiras.at/projects/detail/?tx_ttnews[tt_news]=349&cHash=d7686250a3fb9e6b2806a07d5d7664e3&L=1,
OpenID Connect Core 1.0,Specification,,"OpenID Connect 1.0 is a simple identity layer on top of the OAuth 2.0 protocol. It enables Clients to verify the identity of the End-User based on the authentication performed by an Authorization Server, as well as to obtain basic profile information about the End-User in an interoperable and REST-like manner.

This specification defines the core OpenID Connect functionality: authentication built on top of OAuth 2.0 and the use of Claims to communicate information about the End-User. It also describes the security and privacy considerations for using OpenID Connect.",,,,,,http://openid.net/specs/openid-connect-core-1_0.html,
Key Management Interoperability Protocol (KMIP),Working Group,,"The OASIS KMIP TC works to define a single, comprehensive protocol for communication between encryption systems and a broad range of new and legacy enterprise applications, including email, databases, and storage devices. By removing redundant, incompatible key management processes, KMIP will provide better data security while at the same time reducing expenditures on multiple products.",,,,,,https://www.oasis-open.org/committees/tc_home.php?wg_abbrev=kmip,
Asia‑Pacific Network Information Centre (APNIC),Organization / Trade Association,,"The region served by APNIC covers the entire Asia Pacific, comprising 56 economies throughout Asia and Oceania. APNIC classifies these economies into four regions South, Southeast, Central-east, and Oceania.

APNIC (the Asia Pacific Network Information Centre) is the not-for-profit Regional Internet address Registry (RIR) for the Asia Pacific region.

APNIC provides number resource allocation and registration services that support the global operation of the Internet. It is a not-for-profit, membership-based organization whose members include Internet Service Providers, National Internet Registries, and similar organizations.",,,,,13 January 1993,https://www.apnic.net,https://en.wikipedia.org/wiki/Asia-Pacific_Network_Information_Centre
Continuity and Organizational Resilience WG2,Working Group,,,,,,,,,
Communication: ICT Standardisation Priorities for the Digital Single Market,Publication,,"The Communication on ICT Standardisation Priorities for the Digital Single Market (COM(2016)176) aims to ensure that all these devices in the future will be able to connect and share data with each other – independently of manufacturer, operating system, or other technical details.

It is focused on two main priorities. On one hand, it aims to guarantee a fresh approach to standards in the following domains: 5G, IoT, Cybersecurity, Cloud and Big Data.

On the other, it tries to ensure that all forces in Europe pull in the same direction, using standardisation as a strategic instrument to EU industrial policy

Initial reaction to the Communication has been positive – with praise especially from the European Council, the European Parliament and the Standardisation bodies. But the hard work is starting only now – we now need to make it happen.",,,,,,http://ec.europa.eu/newsroom/dae/document.cfm?doc_id=15265,
mobile Ecosystem Forum,Organization / Trade Association,,"Accelerating your mobile opportunity
The Mobile Ecosystem Forum is a global trade body that acts as an impartial and authoritative champion for addressing issues affecting the broadening mobile ecosystem.  We work with our members to accelerate sustainable market growth that drives inclusion for all and delivers trusted services to enrich the lives of consumers worldwide.",,http://mobileecosystemforum.com/members/,,,2005-01-01,http://mobileecosystemforum.com/,
WITDOM (empoWering prIvacy and securiTy in non-trusteD envirOnMents),Research Project,,"WITDOM (empoWering prIvacy and securiTy in non-trusteD envirOnMents) is an EU Horizon 2020 funded research project with a duration of 36 months, which started in January 2015.

WITDOM focuses on developing innovative solutions for truly efficient and practical privacy enhancing techniques and efficient signal and data processing in the encrypted domain for the increasingly demanded outsourced environments. Actually, the main target WITDOM pursues is to produce a framework for end-to-end protection of data in untrusted and fast evolving ICT-based environments, with a particular focus in data-outsourcing scenarios, where new threats, vulnerabilities and risks due to new uses require end-to-end security solutions that will withstand progress for the lifetime of applications they support.

While currently there are solid bases for homomorphic cryptography and secure processing of data, research in WITDOM will go further, aiming at truly efficient and practical privacy enhancing techniques and efficient signal and data processing in the encrypted domain, and develop a holistic security-by-design framework for quantitative evaluation of end-to-end security and privacy, aiming at guaranteeing efficient and verifiable provision of privacy in the context of ICT services owned by third-party providers of distributed processing and storage, thereby maximizing independence from stated security and privacy commitments by respective providers.

Moreover, research and Innovation in this field cannot ignore the fundamental impact of the EU data protection regulation on the evolution of Cloud-related environments and in the processing of personal and sensitive data.

Finally WITDOM’s innovations deals with the instantiation of the developed framework, platform and tools in two carefully chosen use-case scenarios from the eHealth and Financial services sectors, whose impact and sensitivity of the involved data make privacy a must, and where privacy and confidentiality constraints is a true barrier for profiting from the benefits of outsourced architectures and Cloud-based deployments.",,,,,,http://witdom.eu,
eDocuments,Working Group,,,,,,,,,
International Electrotechnical Commission (IEC),Organization / Trade Association,,"The International Electrotechnical Commission (IEC) is the world’s leading organization that prepares and publishes International Standards for all electrical, electronic and related technologies.

Close to 20 000 experts from industry, commerce, government, test and research labs, academia and consumer groups participate in IEC Standardization work. 
Globally relevant

The IEC is one of three global sister organizations (IEC, ISO, ITU) that develop International Standards for the world.
 
When appropriate, IEC cooperates with ISO (International Organization for Standardization) or ITU (International Telecommunication Union) to ensure that International Standards fit together seamlessly and complement each other. Joint committees ensure that International Standards combine all relevant knowledge of experts working in related areas.

Founded in 1906, the IEC (International Electrotechnical Commission) is the world’s leading organization for the preparation and publication of International Standards for all electrical, electronic and related technologies. These are known collectively as “electrotechnology”.
 
IEC provides a platform to companies, industries and governments for meeting, discussing and developing the International Standards they require.
 
All IEC International Standards are fully consensus-based and represent the needs of key stakeholders of every nation participating in IEC work. Every member country, no matter how large or small, has one vote and a say in what goes into an IEC International Standard.",,,,,1906-01-01,http://www.iec.ch,
NorStella - Foundation for e-Business and Trade Procedures,Organization / Trade Association,Europe,"NorStella - Foundation for e-Business and Trade Procedures was established on 1 January 2003 and is appointed by the Norwegian Government as the national contact point for all international standardization activities in the field of electronic business and trade facilitation.  It is a user oriented, independent, non-profit, private foundation located in Oslo. Its predecessor was Norwegian EDIPRO, established in 1994 to implement EDIFACT for transport messages, and to use EDIFACT for customs clearance. NorStella deals with Internet-based standards like ebXML, Core Components, UBL and semantic technologies, and covers all kinds of industries.

The main objective of NorStella is to contribute to effectiveness and efficiency in public and private undertakings, by promoting
",,,,,,http://www.norstella.no/about-norstella.7695.no.html,
Identification cards-Integrated circuit cards-Programming interfaces (24727),Specification,,"This part of ISO/IEC 24727 specifies
― system architecture and principles of operation,
― a capabilities discovery mechanism,
― security rationale",,,,,,,
LexisNexis,Company,,,,,,,,,
Physical Characteristics and Test Methods WG1,Working Group,,"Physical characteristics, embossing, magnetic stripe, and test methods for conformance and card durability.",,,,,,,
Working Party on Communications and Infrastructure Services Policy (CISP),Discussion Group,,,,,,,,,
Salesforce,Company,,,,,,,,,
Working Paper on the Use of Deep Packet Inspection for Marketing Purposes,Publication,,"Deep Packet Inspection (DPI) is a technology that automates the inspection1, in real or near-real time, of the header and content portions of data packets being transmitted on networks.
An Internet packet or datagram is generally composed of a ‘datagram header’ and a ‘datagram data area’. The datagram header is the portion of the packet that contains information such as source and destination IP address and other details necessary to get the packet where it needs to go as it trav- erses the network. The datagram data area is referred to as the ‘payload’ because it is the content that the datagram header (the ‘envelope’) generally delivers. The packet header refers to any infor- mation a carrier requires to convey its telecommunications message, and the message itself is re- ferred to as the content or payload of that telecommunications message.
While DPI cannot be considered a new technology, having been used for years in intrusion detection and prevention systems as well as in firewall systems, additional uses – enabled by increased com- puting power and more efficient algorithms – for traffic management, control over the dissemination of illegal or unwanted content – including copyrighted material – and even for delivering targeted advertisements to Internet users have been discussed and started to be introduced more recently.
The application of this technology can put the privacy of Internet users at risk. In particular, certain uses of DPI technologies by Internet access providers can result in severe infringements of privacy of Internet users. Access providers are the “gateway to the virtual world”; they are technically able to monitor the content of the entire communication of an Internet user. It is therefore essential that Internet access providers respect telecommunications secrecy, as laid down in the legal frameworks of many jurisdictions. In addition, Internet access providers in many cases not only offer Internet ac- cess, but also voice telephony services, as well as access to media, such as cable television. Pro- viders of such “triple play”-services can – technically speaking – gain an even more detailed profile of the communications behaviour of their customers. Furthermore, with the advent of new and inno- vative services like telemedicine, more and more personal data of a particularly sensitive nature (such as health data) may be transmitted through facilities offered by Internet access providers.
The Working Group has strong reservations about the application of DPI for any purposes other than maintaining the security of information systems and networks within an organisation2, or as otherwise allowed or required by applicable legislation.",,,,,,https://datenschutz-berlin.de/attachments/726/WP_DPI_07_09_2010_675_41_10__2_.pdf?1292413821,
Privacy Engineering,Working Group,,"Privacy is a challenging subject that spans a number of domains, including law, policy and technology. Unlike other fields such as safety risk management and cybersecurity, system designers and engineers currently lack well-characterized, reusable, standards-based tools and practices to understand and mitigate privacy risks and integrate appropriate privacy controls into information systems.

NIST’s work on Privacy Engineering focuses on providing guidance that can be used to decrease privacy risks, and enable organizations to make purposeful decisions about resource allocation and effective implementation of controls in information systems.",,,,,,http://csrc.nist.gov/projects/privacy_engineering/,
US National Information Exchange Model,Part of a Government,,"NIEM is a community-driven, standards-based approach to exchanging information. Diverse communities can collectively leverage NIEM to increase efficiencies and improve decision making.

It was started by a handful of organizations supporting state and local government to overcome the challenges of exchanging information across state and city government boundaries.

This grassroots effort, called the Global Justice Information Sharing Initiative, set into motion the creation of a seamless, interoperable model for data exchange that could solve a range of information-sharing challenges across a variety of government agencies. After a two-year effort, the first pre-release of the Global Justice XML Data Model (GJXDM) was announced in April 2003.

The NIEM Executive Steering Council (ESC) serves as NIEM’s decision-making body regarding membership, funding requirements, program or technical direction, Com",,,,,,https://www.niem.gov/Pages/default.aspx,
Developing Countries Contact Group DCCG,Working Group,,,,,,,,,
Towards a definition of the Internet of  Things (IoT),Publication,,This document gives an allIinclusive definition of IoT that ranges from small localized systems  constrained to a specific location to a large global system that is distributed and composed of  complex systems. The document also provides an overview of the IoT’s basic architectural  requirements.,,,2016-03-05,,,http://iot.ieee.org/images/files/pdf/IEEE_IoT_Towards_Definition_Internet_of_Things_Revision1_27MAY15.pdf,
